점포명,주소,전화번호
지석상회,경상남도 거제시 사등면 지석리 900-1,055-632-4676
신25시편의점,경상남도 거제시 고현동 961-84,055-637-1692
근화슈퍼,전라북도 남원시 죽항동 45-6,
코스코하이퍼마트,충청북도 청주시 흥덕구 가경동 1479-6,043-233-1776
하나로슈퍼,경상남도 거제시 고현동 236-5,055-637-2434
임피 할인마트,전라북도 군산시 임피면 읍내리 482-3,063-453-2963
드림마트,전라북도 군산시 소룡동 1379-13,063-466-6884
주공할인마트,경상북도 경산시 삼북동 주공아파트 상가 105호,053-816-8930
푸른할인마트,경상북도 경산시 옥산동 평광신화아파트 상가101호,053-814-9800
화랑마트,경상북도 경산시 삼풍동 515-25,053-817-5309
하나원마트,전라남도 해남군 송지면 산정리 712-3,061-533-4809
창신할인마트,경상북도 경산시 사정동 16-13,053-811-5037
한아름할인마트,경상북도 경산시 서상동 126-3,053-814-9117
한사랑마트,경기도 광명시 광명동 200-6 한진타운상가동 1122-1133호,02-2688-2008
포스마트,경상북도 경산시 조영동 252,053-817-6606
진솔마트,경기도 광명시 광명동 40-1,02-2682-9250
대성푸른마트,전라남도 여수시 화양면 나진리 484,061-682-6027
아이비즈마트,서울특별시 용산구 청파동2가 71-74,02-711-1862
매일슈퍼,경상북도 김천시 모암길 137 (모암동) 매일슈퍼,054-430-5632
해미리할인마트,강원도 횡성군 횡성읍 읍하리 442,033-345-1259
투데이편의점,전라북도 전주시 덕진구 우아동1가 1100-3,
성내주공마트,"전라남도 무안군 무안읍 성내리 22-4,성내국민임대아파트103호상가",061-284-5856
월드편의점,충청북도 청주시 청원구 공항로 39-2(내덕동) .,043-254-6676
신도마트,서울특별시 관악구 남부순환로143나길 34(신림동) .,02-861-6580
신안식품,서울특별시 관악구 신림동 381-2번지,02-873-3963
으뜸마트,서울특별시 관악구 신림동 103-122번지,02-884-8390
상지마트,서울특별시 관악구 신림동 477-1번지,02-838-0631
그린유통,서울특별시 금천구 독산3동 888-8번지,02-867-4820
코사24편의점 (나들가게),경기도 고양시 일산서구 일산동 622-7,031-924-7688
코사마트 양우,경기도 고양시 일산서구 가좌동 1090 가좌마을 양우상가 102,031-925-1212
코사마트 (자원점),경기도 파주시 통일로 539(아동동) .,031-941-0319
현대유통,서울특별시 관악구 조원로8길 16(신림동) .,02-851-8440
부영상회,강원도 원주시 문막읍 부영아파트 상가 1-103,033-735-4150
옥천슈퍼,인천광역시 계양구 효성동 291-2,032-552-9555
비어앤크림,강원도 원주시 치악고교길 30-18(관설동) 102호,033-765-5332
더웰할인마트,인천광역시 남동구 남동대로 936(간석동) 상가동 101호,032-526-5678
우리마트,"서울특별시 구로구 도림로12길 22 (구로동) 101호, 102호, 103호",02-6401-5088
상정마트,"인천광역시 부평구 십정동 216,백영@상가 6호",032-429-7755
거성슈퍼,"인천광역시 남동구 구월동 1289-1, 상가주택102호",032-465-5565
세창마트문구,강원도 원주 일산동 341-180,033-746-8422
삼산슈퍼,"인천광역시 부평구 삼산동 157,삼산주공상가 105호",032-511-7348
영슈퍼,인천광역시 계양구 계산동 925-2,032-546-4935
코사마트 우리점,경기도 광명시 철산동 467-70번지 1층,02-2682-6371
우리슈퍼,대구광역시 달서구 두류동 639-33,053-625-3257
쿨마트,대구광역시 달서구 죽전동 262-1,053-567-9283
이현할인마트,대구광역시 서구 평리동 628-13,053-566-1554
대양그린마트,대구광역시 남구 대명동 1627-33,053-628-3010
생큐마트(나들가게옥련점),인천광역시 연수구 옥련동 259-16,032-834-8787
파랑새마트,대구광역시 달서구 본리동 1211-10,053-524-0843
LG하이마트,"서울특별시 동작구 사당동 1139 LG아파트상가1층101,102,103,104,112,113,114",02-584-8252
와룡마트,대구광역시 서구 중리동 1093-1,053-551-0650
경북마트,대구광역시 서구 중리동 1101,053-526-6800
용궁상회,경기도 양평군 단월면 보룡리 342-8,031-773-1762
88수퍼,서울특별시 동작구 사당동 248-4,02-584-4497
주공슈퍼,전라북도 남원시 노암동 주공아파트 주공상가 102,063-631-1314
용두마트,경기도 양평군 청운면 용두리 661-14,031-773-4777
소문난슈퍼,서울특별시 용산구 용산동2가 38-10,02-793-9182
이플러스,전라북도 김제시 금산면 쌍용리 488-5,063-544-0714
양림미니슈퍼,전라북도 남원시 어현동 37-157,070-7760-2695
킹마트,인천광역시 부평구 산곡동 49-16호 킹할인마트,032-526-2489
한남체인가곡점,전라남도 순천시 가곡동 971-9,061-752-2388
채널큐24시,서울특별시 도봉구 창동 635-2,02-995-9006
솔로몬마트,인천광역시 부평구 십정동 351-5,070-7337-8160
삼성하이퍼마켓,충청북도 충주시 교현2동 518 교현A 상가 5호,043-842-6755
하나로마트,서울특별시 도봉구 도당로29길 33(방학동) 1층,02-956-4198
중흥마트,전라남도 강진군 군동면 호계리 중흥@108-101호,061-432-9896
크리넥스종합유통,서울특별시 도봉구 쌍문2동 120-1,02-3491-9084
그린푸드,서울특별시 도봉구 방학2동 637,02-3492-1114
행복마트,서울특별시 영등포구 영등포동 618-40 1층,02-842-8005
제이마트,서울특별시 중랑구 묵동 249-13 지하층 1층,02-975-1062
러브슈퍼마켓,서울특별시 강서구 방화동 839 방화2-1단지상가,02-2666-0660
대동슈퍼,"경상남도 김해시 외동 대동 주상가 122,123호",
오성마트,대구광역시 수성구 수성동1가 우방오성타운 116-104번지,
명지슈퍼,충청남도 당진시 송악면 반촌리 420-6,041-356-1785
알뜰슈퍼,서울특별시 강서구 방화동 839 방화2-1단지상가103호,02-2667-0199
꽃동네수퍼,서울특별시 도봉구 쌍문1동 452-2,02-907-6739
하나 마트 천동점,대전광역시 동구 천동 520 월드빌딩 104호,042-285-4484
충남슈퍼,인천광역시 남구 주안5동 20-28,032-867-1931
그린마트,서울특별시 도봉구 방학동 698-21,02-3491-6277
예지수퍼,충청남도 아산시 방축동 128 예지수퍼,041-549-7593
수웅마트,충청남도 당진시 송악면 석포리 318-3 수웅누리 아파트상가 3호,041-357-3334
진마트,서울특별시 도봉구 도당로13다길 25(방학동) .,02-3492-9696
은행수퍼,경기도 수원시 팔달구 화서동 68-16,031-296-8935
벽산할인마트,"경기도 수원시 장안구 조원로 16(조원동, 벽산아파트) 상가동 1층 4-1,4-2",031-295-5004
뉴마트,경기도 수원시 권선구 당수동 276-19,031-419-8915
뉴원마트,경기도 오산시 궐동로69번길 55(궐동) 15/4,031-227-7249
청정마트,서울특별시 도봉구 방학동 305-9,02-956-3013
삼거리수퍼,서울특별시 도봉구 방학동 668-34,02-3492-8109
명진슈퍼,서울특별시 중랑구 망우본동 461-1,02-493-3406
미화당할인마트,경상남도 진해시 여좌동 4-28,055-546-2253
럭키슈퍼,서울특별시 강남구 도곡동 546-8,02-3462-1627
늘벗슈퍼,경기도 수원시 영통구 매탄동 1244-1 금성아파트 상가동 101호,031-213-6569
다농마트,경기도 화성시 융건로 98(배양동) .,031-271-5900
새로나슈퍼,서울특별시 강남구 논현2동 62-3 청학아파트 상가 c동a호,02-544-1691
마마24시마트,대전광역시 중구 유천1동 305-16,042-585-2495
동원마트,서울특별시 서초구 서초동 1564-1,02-588-0595
진성유통,서울특별시 강남구 논현동 176-21 넥스트빌딩 1층,
서울상회,서울특별시 서초구 서초동 1357-55 1층,02-581-0636
코사마트 피자투어,서울특별시 서초구 서초동 1440-1,02-598-1533
대성마트,서울특별시 강남구 영동대로118길 56 (삼성동) 1층 1호,02-518-8779
신동아마트,서울특별시 강남구 논현동 22 단지상가내 1층3호,02-542-6861
당하슈퍼,경기도 화성시 봉담읍 당하리 205-10,031-227-1312
봉담복자리복권과편의점,경기도 화성시 봉담읍 상리 27-11,031-227-0071
민마트,충청북도 괴산군 연풍면 행촌리 622-4,043-833-5035
신도J마트,경기도 화성시 반송동 나루마을신도브래뉴아파트 신도브래뉴상가 109호,031-613-7875
월드마트,전라북도 익산시 영등동 764-7,
풍성할인마트,경기도 화성시 기안동 457-79,031-224-4946
슈퍼,경기도 구리시 교문동 740-8번지 1층,031-567-4881
까치슈퍼,경기도 구리시 교문동 806번지 1층,031-553-5872
영풍마트,인천광역시 동구 화수동 140-55,032-765-2882
골안슈퍼,경기도 군포시 산본동 1077 1층점포,031-392-9841
부광슈퍼,서울특별시 금천구 가산동 151-12,02-853-0774
향원마트,전라북도 남원시 죽항동 16-3,063-625-3772
진로할인마트,서울특별시 동작구 사당동 105극동상가1층113-102,02-591-4016
신광슈퍼,경기도 수원시 장안구 파장동 604-17,031-257-4719
현대마트,서울특별시 동작구 대방동 391-237,02-815-7254
신일마트&축산,"경기도 화성시 효행로291번길 26(기안동) 상가동 104호,105호",031-226-7740
88청과,부산광역시 해운대구 우동 1388-4 대우마리나 상가 116호,051-746-7722
옥산마트,경상북도 경산시 옥산동 825-8,053-814-1656
수마트,서울특별시 강남구 개포동 개포로 22길19 목련빌딩 1층,02-572-1044
서진마트,경기도 수원시 팔달구 화서문로 26-2(신풍동) 1층,031-258-0401
대우마트,강원도 춘천시 석사동 대우아파트 상가1층 103호,033-261-7387
주공하이마트,강원도 정선군 정선읍 북실리 772-2 정선북실아파트 102-406 4/2,033-562-8519
루디아마트,경기도 수원시 팔달구 매산로2가 11-7,031-255-8676
그린마트,경상북도 영천시 야사동 187-2,054-332-6436
혜인슈퍼,서울특별시 강남구 논현동 194,02-548-0737
미리내마트,경기도 수원시 장안구 수원천로442번길 13(연무동) 1층,031-242-6748
주공웰빙마트,경기도 수원시 권선구 오목천동 상송주공아파트 상가 101,031-227-9945
홈마트,대구광역시 서구 비산5동 1220-1,053-355-0059
웰마트,대구광역시 달서구 본리동 563-10,053-524-1311
샬롬마트,경기도 수원시 팔달구 매산로2가 40-1 동인트루빌3 상가 109,
드림마트,대구광역시 달서구 월배로34길 42(상인동) .,053-638-0333
신우유통코스모스점,대구광역시 북구 읍내동 1379-12,053-321-0211
국제비치마트,"경상남도 마산시 산호동 332 국제비치타운상가 4-415,416",055-244-2926
코사마트의성점,대구광역시 북구 침산동 85-12,053-422-2083
코사마트중앙점,대구광역시 수성구 수성동4가 1024-34,053-744-5424
이삭슈퍼,인천광역시 남동구 만수6동 이삭아파트상가105호,032-471-1877
오뚜기마트,경기도 의정부시 가능로85번길 30 (가능동) 오뚜기마트,
세진슈퍼,경기도 의정부시 가능동 636,031-873-1102
태진슈퍼,경기도 의정부시 가능동 675,031-872-4902
킹클럽할인마트,서울특별시 구로구 가리봉동 135-80,02-857-7646
우리슈퍼,서울특별시 동작구 상도4동 202-224,02-816-9649
엘마트,서울특별시 동작구 사당동 316-26,02-3486-0845
풀할인마트,서울특별시 동작구 사당동 267-26,02-586-1562
명지할인마트,경기도 평택시 포승읍 내기리 698번지 명지아파트2차상가동102 103 104호,
원주슈퍼,인천광역시 부평구 부평동 12-77,032-512-3228
희진마트,충청북도 충주시 봉방동 1-10,043-847-0834
동아마트,전라북도 익산시 부송동 231-4 동아아파트 지하상가,
훼미리마트,전라북도 익산시 동산동 1037-1,063-857-4401
굿데이마트,충청북도 청주시 흥덕구 흥덕로172번길 3(운천동) .,043-266-9549
원플러스,부산광역시 금정구 구서1동 468-3 101,
소비자할인마트,서울특별시 관악구 신림동 1659-4 1층,02-867-0979
신세계슈퍼(유통),강원도 춘천시 근화동 744-7,033-257-9081
행운슈퍼,경기도 부천시 소사구 심곡본동 811-2,032-657-6232
럭키슈퍼마켓 렛,경기도 부천시 원미구 중동 11 아주상가1층71,032-322-7641
신성마트,강원도 영월군 영월읍 영흥8리 1반,033-374-2081
만천할인마트,"강원도 춘천시 동면 만천리 977번지 LH아파트상가 103,104호",033-256-0035
그랜드마트,경기도 김포시 통진읍 서암리 주공아파트단지내상가102호,031-989-5840
수정수퍼,대구광역시 북구 산격2동 478-31,053-381-9320
대우마트,경기도 이천시 증포동 대우2차아파트 244-3 대우2차아파트 제상가동103호,031-638-4193
한신마트,"경상남도 김해시 외동 883 일동한신아파트 상가2동 105, 106호",055-311-8868
위마트,울산광역시 남구 달동 593-4,052-272-3363
코리아마켓,전라남도 여수시 국동 821-1,070-7558-3843
풍성할인마트,대구광역시 동구 입석동 883-33,053-984-4292
보람식품,서울특별시 관악구 신림동 1465-25,02-864-8740
다다유통,대구광역시 수성구 신매동 596-6,053-792-2242
삼진슈퍼,강원도 원주시 단계동 885-4,033-742-8882
두산슈퍼,서울특별시 관악구 봉천동 1708-1 두산아파트상가 1층,02-3285-4777
제일슈퍼,경기도 부천시 원미구 상동 241번지,032-652-8563
주공마트,경상남도 김해시 구산동 주공아파트 3단지 상가 104호,055-328-1001
삼원스토아,울산광역시 남구 무거동 1235-23,052-224-0613
자연애할인마트,울산광역시 남구 신정1동 1415-13,052-274-5283
세계로마트 구영점,울산광역시 울주군 범서읍 구영리 구영푸르지오2차아파트 상가1층,052-248-1388
장흥슈퍼,서울특별시 관악구 봉천동 1633-34,02-883-8978
한아름마트,전라북도 부안군 부안읍 봉덕리 768-1,
농심체인축산물수퍼,대구광역시 달서구 송현동 977-2 주공아파트 상가 105,053-633-8502
삼호마트,전라북도 전주시 덕진구 인후동1가 502-7 4층,063-243-1144
청마트,대전광역시 서구 흑석동 881,070-7723-5736
코사마트,전라남도 순천시 조례동 주공아파트 8차 상가 106호,061-723-3050
스마일슈퍼,서울특별시 강서구 등촌동 707 주공아파트상가 101호,02-2658-0487
대호웰마트,전라북도 전주시 완산구 중화산동1가 237-2,063-231-5677
새천년슈퍼,경상북도 경주시 사정동 255-2번지,054-775-9159
부흥마트,경기도 이천시 신둔면 소정리 200-2,031-637-4605
민성마트,전라남도 순천시 연향동 부영2차아파트 2동상가 지하104호,061-722-0898
삼천쿨마트,전라북도 전주시 완산구 삼천동1가 632-8,063-904-4360
로데오슈퍼,충청남도 예산군 예산읍 산성리 822,041-332-4752
새싹공판장,경기도 화성시 우정읍 조암리 363-3,031-358-7965
삼호슈퍼,전라북도 익산시 동산동 87-25,
썬마트(문성본점),"서울특별시 관악구 문성로38길 54 (신림동, 지하1층)",02-863-4116
원주슈퍼,전라북도 익산시 목천동 396-1 원주@상가 7,
삼보할인마트,부산광역시 동래구 명장2동 290-2,051-526-5600
금성마트,경상북도 구미시 원평동 112-22,054-452-2401
쇼핑촌할인마트,서울특별시 영등포구 신길6동 4779 보라매경남아파트상가 103호,02-833-6798
예산 슈퍼,대전광역시 동구 판암동 239 주공@ 가동상가 107호,042-271-1303
신길할인마트,"서울특별시 영등포구 대방천로244-1,1층(신길동)",02-848-8418
미광25시편의마트,전라북도 익산시 창인동1가 11,
돌할인마트,경상북도 구미시 형곡로10길 21(형곡동) .,054-455-3042
코사할인마트,경상북도 구미시 산호대로24길 9-3 스위트캐슬 1층,054-473-6908
거창슈퍼,서울특별시 금천구 독산동 1010-1번지,02-804-3988
금강할인마트,서울특별시 구로구 오류2동 금강수목원아파트 상가105호,02-2066-2441
대호하이퍼,충청북도 청주시 흥덕구 복대동 15-1,043-232-4823
우미종합마트,광주광역시 북구 용봉동 149-19,062-268-2211
대승홈마트,충청북도 청주시 흥덕구 복대동 231-26,043-234-5075
우리슈퍼,경기도 화성시 송산면 사강리 686-11,031-357-0704
써티하우스,경상북도 김천시 성내동 208-12번지,054-437-5602
두진하이퍼,충청북도 청주 서원구 수곡로 28(수곡동)1동 102호 .,043-291-1333
두진사슈퍼,충청북도 청주시 상당구 우암동 346-61번지,043-256-6880
1004 슈퍼,인천광역시 남동구 만수동 911-4,032-462-5788
소라하이퍼마켓,충청북도 청주시 흥덕구 분평동 1120,043-291-2943
대백할인마트,"대구광역시 수성구 고산로 90(신매동) 상가동 109호(신매동, 시지콤비코아)",
대광할인마트,인천광역시 남동구 만수동 935-17,032-462-0260
한창할인마트,인천광역시 남구 문학동 391-4,032-423-3256
진흥슈퍼,충청북도 청주시 흥덕구 강내면 가로수로 640-8 (외 1필지(146-2)),043-231-1993
돼지마트,충청북도 청주시 상당구 문의면 문의시내로 32 .,043-293-2567
다모아마트,전라남도 광양시 태인동 1320-34,061-792-2633
우신마트,강원도 춘천시 소양로1가 93-12,033-257-0750
주안홈마트,인천광역시 남구 주안2동 494-3 주안홈마트,032-867-4233
강마트,"전라북도 익산시 부송동 669 리젠시빌상가 104,105,106호",
그린빅마트,전라남도 목포시 서산동 5-5,061-245-0347
현대슈퍼마트,전라남도 목포시 상동 832-10,061-283-5820
킹마트,"전라북도 익산시 어양동 우미아파트 상가 6,7호",
황산대형마트,전라남도 해남군 황산면 시등로 111 .,061-532-9705
코사마트옥산점,경상북도 경산시 성암로1길 2-17 (옥산동),053-811-7097
현대할인마트,충청남도 천안시 서북구 불당동 757번지 상가 110호,041-551-4959
현대마트,서울특별시 광진구 군자동 194-2,02-461-9383
영마트,서울특별시 영등포구 대림동 756,02-848-3833
싱싱마트,서울특별시 광진구 능동 223-7 1층,02-3436-6153
광적슈퍼,경기도 의정부시 신촌로5번길 15(가능동) .,031-875-0326
대한슈퍼,서울특별시 영등포구 신길1동 199-1,02-848-4460
동호마트,경기도 의정부시 녹양로18번길 15(가능동) .,031-872-7266
삼양할인마트,부산광역시 금정구 금사동 68-42,051-524-1907
하나마트6호점,울산광역시 동구 일산동 537-1,052-235-8755
호성식품,서울특별시 중랑구 상봉동 102-73,02-432-3294
우리홈마트,경기도 부천시 원미구 심곡동 304-19 1층 101호,032-611-7724
아씨마트,경기도 의정부시 가능2동 722-10,031-876-6120
세영마트,울산광역시 동구 전하동 300-20,052-236-8822
월드마트,경기도 부천시 소사구 소사본동 57-25,032-344-9669
성주슈퍼,울산광역시 동구 화정동 846-17,052-251-4302
중앙마트,서울특별시 광진구 자양동 585-22,02-454-4832
광동상사,울산광역시 동구 화장로125 (방어동. 1028-8),
햇빛촌동방슈퍼,서울특별시 광진구 중곡동 566-5,02-433-8577
e편한세상,서울특별시 구로구 신도림동 e편한세상대림2차아파트 101호,02-2676-0150
오거리하이퍼,서울특별시 관악구 신사동 485-18,02-863-8524
한사월마트,서울특별시 용산구 용산동2가 1-729,02-752-0758
양지마트,전라남도 여수시 미평동 740-1,061-651-1165
우신스토아,부산광역시 북구 화명동 1426-1,051-335-6420
나래25시,부산광역시 북구 구포1동 690-10 나래빌라 101호,
금강슈퍼,부산광역시 북구 만덕3동 925-1,051-335-7712
덕풍종합마트,충청남도 천안시 동남구 원성동 543-2,041-556-3410
싱싱마트,"인천광역시 남동구 구월동 1190-9, 1층",032-463-1614
화창할인마트,대구광역시 서구 고성로 91(원대동3가) 1층(화창빌딩),053-353-9036
덕일슈퍼마켓,충청북도 제천시 청전동 626-1,043-643-9186
한아름슈퍼,서울특별시 영등포구 신길동 91-28,02-845-7273
편한마트,충청북도 제천시 장락동 678 e-편한세상아파트단지내 상가104-107호,043-643-0241
그린마켓,충청남도 홍성군 홍성읍 대학길 18-34 .,041-634-6640
중흥마트,충청북도 충주시 교현동 1359 중흥A 상가 102호,043-842-1259
다리안마트,충청북도 제천시 송학면 시곡포전로 5 .,043-642-3502
고속마트,충청북도 제천시 내토로28길 1 (화산동) 고속마트,043-647-4527
태양할인마트,울산광역시 북구 염포동 175-1,052-287-2072
육거리슈퍼,충청북도 청주시 상당구 대성동 120-7,
광복슈퍼,충청북도 단양군 단양읍 도전리 332,043-422-3492
청풍할인마트,충청북도 제천시 청풍면 물태리 133-51,043-643-1115
프라임마트,충청북도 제천시 의병대로26길 17(동현동) .,043-644-7121
현대슈퍼,충청북도 영동군 영동읍 동정로 39-25 .,043-744-2258
럭키슈퍼,서울특별시 양천구 신정동 920-9,02-2608-5349
화인마트,"경기도 성남시 분당구 정자일로 46(금곡동, 청솔마을화인아파트) 제상가동 제 105호",031-708-7749
한마음마트,충청북도 제천시 봉양읍 미당리 덕일한마음아파트 상가 내,043-653-3435
금당슈퍼,경상북도 예천군 용문면 상금곡리 600-2,054-654-9418
두진하이퍼마켓,충청북도 제천시 내제로211(청전동),043-648-3939
고암하이퍼,충청북도 제천시 고암동 1250-2,043-643-5044
진주수퍼,부산광역시 동래구 온천동 1459-2,051-504-4034
대지,서울특별시 광진구 구의동 227-19,02-458-4905
엘지 슈퍼,부산광역시 사상구 감전동 은호파크빌 B동 101호,051-325-2887
성경하이마트,경기도 구리시 수택동 612-2,031-557-9586
에이스마트,전라남도 강진군 강진읍 서성리 94-3,061-433-7727
천남코아루마트,충청북도 제천시 천남동 9-10 상가 10호,043-644-3393
소비자마트,서울특별시 서대문구 홍은동 190-42,02-3216-6074
파워세일마트,경상북도 구미시 인의동 584-2,054-473-8785
뉴파워마트,경상북도 구미시 봉곡동 113-1,054-453-4009
나산슈퍼,전라북도 정읍시 공평동 34,063-533-8222
원마트,대구광역시 남구 중앙대로49길 46(대명동) .,053-627-7010
나들가게 황금1호점,대구광역시 수성구 황금동 706-29,053-761-2089
롯데할인마트,부산광역시 동래구 명륜2동 700-91,051-555-2049
럭키슈퍼,대구광역시 수성구 황금동 696-1,053-761-2036
행진마트,경상남도 진주시 상대동 249-8,
삼화슈퍼,서울특별시 송파구 마천동 207-3,02-449-0429
대성할인마트,대구광역시 남구 희망로 19(이천동) .,053-474-5666
산수슈퍼,부산광역시 금정구 금사동 58-25,051-528-7695
진주상사,대구광역시 수성구 시지동 138-5,053-792-8919
한양할인마트,경상북도 구미시 황상동 211번지,054-472-5403
블루25,부산광역시 북구 금곡대로470번길 35(금곡동) 상가동 1층 102호(유림아파트),051-501-2239
거성마트,전라북도 익산시 신용동 333-16,
약국슈퍼,전라북도 정읍시 교암동 453-6,063-535-1783
하은슈퍼,전라북도 정읍시 연지동 421-26,063-531-3311
현대수퍼,전라남도 순천시 조례동 조례현대아파트 현대상가 102,061-722-2013
승주이마트,전라남도 순천시 승주읍 서평리 426,061-754-5679
자연슈퍼,서울특별시 강서구 방화동 486-44,02-2666-4944
협동슈퍼,경상북도 경산시 중방동 405,053-815-0339
스카이마트,"서울특별시 성북구 화랑로18길24, 1층(상월곡동)",02-967-3806
럭키슈퍼마켓,경기도 화성시 매송면 원평리 77-3,031-292-9429
우림할인마트,충청북도 청원군 오창읍 각리 646-2우림필유2차 상가,043-216-0096
애플마트,전라남도 순천시 동외동 199-5,061-752-3619
동백정낚시할인마트,충청남도 서천군 서면 서인로 313,041-951-8111
대명슈퍼,전라북도 군산시 나운동 834-1,063-465-0830
콜마트 1호점,전라북도 군산시 나운동 748-2,063-468-8445
푸른24시간 편의점,전라북도 군산시 나운동 855-1,063-468-9261
안동네슈퍼,부산광역시 연제구 거제2동 987-11,051-503-4115
명성슈퍼,충청남도 예산군 예산읍 창소리 39-16,041-334-2761
코사마트 윤창점,경기도 고양시 덕양구 고양동 415-1 윤창아파트제상가동 105,031-963-3063
코사마트 능곡 2호점,경기도 고양시 덕양구 토당동 862ㅡ5,031-974-8354
코사마트 토당점 (나들가게),경기도 고양시 덕양구 토당동 877ㅡ1,031-979-9470
코사마트 봉봉점,경기도 고양시 덕양구 화정2동 993번지 백양빌딩108.109호,031-972-0083
코사마트 백석점,경기도 고양시 일산동구 백석동 1416번지 1층,031-905-0810
애경마트,충청북도 영동군 영동읍 계산리 452-11,043-744-6078
썬마트,서울특별시 동작구 신대방동 360-65,02-825-1776
예술인슈퍼,서울특별시 관악구 남현동 1054-10,02-521-6863
영동슈퍼,서울특별시 동작구 대방동 379-10,02-812-3105
수정슈퍼,서울특별시 관악구 봉천동 635-191,02-875-7109
신안마트,서울특별시 양천구 신월7동 911-17 지하 제2호,02-2693-3326
럭키슈퍼,서울특별시 영등포구 신길동 186-108,02-846-6385
한아름유통,세종특별자치시 전의면 읍내길 27 읍내길 27,044-000-8949
일성할인마트,경기도 성남시 중원구 상대원동 178-6 지층,031-734-3507
청솔마트,대전광역시 대덕구 중리동 401-1,042-637-4352
글로리아 마트,인천광역시 연수구 옥련동 167,032-832-2080
글로리아 마트,인천광역시 연수구 옥련동 167,032-832-2080
서우슈퍼,대전광역시 서구 내동 서우아파트 1단지 상가슈퍼,042-522-4793
현대슈퍼마켓,인천광역시 부평구 십정동 178-22,032-512-4169
하나슈퍼,인천광역시 남동구 간석1동 324-16,032-427-3748
청솔마트,전라남도 순천시 해룡면 상삼리 694 청솔2차아파트상가,061-726-3770
코사마트,인천광역시 부평구 십정동 329-2 101호,032-424-3960
어울림마트,경기도 남양주시 평내동 577-12번지 1층,031-559-6370
혜성할인마트,"인천광역시 남동구 석산로 228, 1층 (구월동)",032-471-6024
그랜드마트,경기도 시흥시 정왕동 1864-1 주공1단지@ 가-106호,031-432-7735
신월마트,전라남도 무안군 운남면 신월로 558-23 .,061-274-7636
이화알뜰슈퍼,"충청남도 천안시 서북구 쌍용동 379-33 이화아파트 상가 1,2",041-574-1884
한솔마트,경기도 이천시 백사면 조읍리 한솔아파트 한솔마트,031-633-3990
동일하이퍼마켓,충청남도 천안시 서북구 쌍용동 2077 동일하이빌아파트단지내 상가 105호,041-573-7708
시장식자재마트,전라북도 전주시 완산구 효자동1가 220-14,
OK플러스마트,인천광역시 남구 주안4동 1559-36,032-432-5758
양지할인마트,인천광역시 남구 도화동 368-19,032-868-1452
한나미니슈퍼,경기도 광명시 철산동 463-4번지 1층,02-2682-5517
흥덕슈퍼,충청남도 보령시 명천동 442-14,041-932-7751
파워마트,전라북도 전주시 덕진구 우아동3가 747-42,063-242-1730
싱싱청과마트,강원도 인제군 인제읍 상동4리 247-1,033-463-6800
월드마트,경기도 수원시 팔달구 우만동 600 월드메르디앙아파트 제분산 상가 102 호,031-215-3442
제일슈퍼,충청남도 보령시 성주면 성주리 265-123,041-933-5133
성원슈퍼체인,경기도 안양시 만안구 안양1동 164-12 성원아파트상가 101,031-447-1646
동진마트,서울특별시 중랑구 면목동 42-63 1층,02-435-5407
코사할인마트,서울특별시 구로구 구로2동 705-16,02-852-2366
청안슈퍼,경상남도 김해시 동상동 337-3,055-333-6788
스카이 마트,경기도 안산시 단원구 고잔동 530-2 117호,031-405-5556
진주상회,부산광역시 중구 영주동 286-25,051-466-7338
도화담슈퍼,충청남도 보령시 미산면 도화담리 175,041-933-4272
새마을슈퍼,충청남도 서산시 해미면 읍내리 295-10,041-688-1286
녹양슈퍼,경기도 의정부시 녹양동 382-20,031-878-7613
코사마트금강유통,대구광역시 달서구 용산1동 950-5,053-565-8367
개미슈퍼,경기도 부천시 삼작로409번길 14(원종동) 101동 102호,032-684-2278
중앙할인마트,대전광역시 중구 유천동 272-1 1층,042-585-3069
푸르지오마트,울산광역시 중구 남외동 남외운동장지구 5B2L 102,052-298-3939
동원슈퍼,경기도 안양시 만안구 석수3동 749-9,031-472-2050
의성수퍼,대구광역시 달서구 감삼동 283-1,053-564-4564
코사할인마트,대구광역시 서구 중리동 707-19,053-552-2950
코사마트서도점,대구광역시 서구 평리2동 1108-20,053-552-3325
한양슈퍼,서울특별시 중랑구 상봉동 484 엘지쌍용A상가 105,02-3421-4593
코사마트대덕점,대구광역시 남구 대명11동 1253-11,053-621-5073
한남축산물,대구광역시 서구 평리동 647-4,053-553-1516
비디오슈퍼,울산광역시 중구 동동 425-1,052-292-0776
우리할인마트,대구광역시 달성군 화원읍 화원로 15 1층(천내리),053-636-8318
기아 2차마트,경기도 화성시 우정읍 화산리 694-7 사원2차아파트상가 1층,031-351-6947
성우할인마트,경상남도 창원시 마산회원구 내서읍 중리공단로 225,055-247-3489
마운틴마트,전라남도 영광군 법성면 법성리 602-38,061-356-4990
중앙슈퍼,대구광역시 북구 구암동 669-16,053-624-0862
제일슈퍼,대구광역시 서구 비산동 1016-35,053-357-0301
형제유통,대구광역시 달서구 용산동 419-1 한마음타운상가 209/201,053-588-2239
미소마트,대구광역시 중구 남산동 2482-458 까치아파트 상가1층 104/3,053-253-6427
신동아중국식품,"전라남도 목포시 영산로279, 1층(용당로)",061-000-0000
방이유통,전라남도 목포시 청호로136번길 21(산정동) .,061-274-5885
K2 마트,대전광역시 서구 괴정동 423-27,042-522-1482
